"CODMUNRES","ANO","NIVEL","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2706307,2015,"MUNICIPIO","73878",70368,33582,36786,18709,37177,13203,9124,19530,7414
2706406,2015,"MUNICIPIO","24878",23811,11758,12053,7429,12223,3765,3603,6236,1982
2706422,2015,"MUNICIPIO","10601",10264,5114,5150,3295,5042,1735,1641,2491,913
2706448,2015,"MUNICIPIO","12887",11347,5590,5757,3518,6132,1585,1759,3100,829
2706505,2015,"MUNICIPIO","15419",14763,7512,7251,5063,7591,1915,2476,3688,988
2706604,2015,"MUNICIPIO","7682",7426,3631,3795,2119,3831,1336,1041,1942,732
2706703,2015,"MUNICIPIO","64074",60378,29308,31070,17375,32575,9576,8553,16779,5244
2706802,2015,"MUNICIPIO","18011",17203,8615,8588,5339,8945,2701,2574,4429,1454
2706901,2015,"MUNICIPIO","35295",33305,16167,17138,10086,17768,5033,4965,9295,2626
2707008,2015,"MUNICIPIO","2956",2866,1420,1446,840,1508,472,425,744,251
2707107,2015,"MUNICIPIO","24950",23045,11294,11751,8051,11854,2939,3969,6144,1537
2707206,2015,"MUNICIPIO","14493",13872,7002,6870,4864,6959,1877,2399,3428,947
2707305,2015,"MUNICIPIO","27288",25708,12754,12954,8409,13497,3520,4139,6834,1842
2707404,2015,"MUNICIPIO","8151",8429,4270,4159,2623,4427,1268,1313,2173,608
2707503,2015,"MUNICIPIO","20205",19334,9594,9740,5750,10123,3160,2850,5075,1648
2707602,2015,"MUNICIPIO","11592",11480,5671,5809,3283,6042,1976,1615,3042,1061
2707701,2015,"MUNICIPIO","75645",68481,33301,35180,19716,37837,10225,9545,19620,5566
2707800,2015,"MUNICIPIO","6803",6656,3369,3287,2478,3295,833,1218,1645,395
2707909,2015,"MUNICIPIO","7325",6891,3370,3521,2097,3648,1059,1049,1861,559
2708006,2015,"MUNICIPIO","47820",44932,21811,23121,14315,23334,6605,7052,12008,3663
2708105,2015,"MUNICIPIO","11009",10961,5490,5471,3449,5676,1683,1672,2829,901
2708204,2015,"MUNICIPIO","7034",6718,3334,3384,2009,3430,1149,995,1720,603
2708303,2015,"MUNICIPIO","24048",22686,11172,11514,7377,11496,3474,3609,5846,1878
2708402,2015,"MUNICIPIO","32271",30088,14850,15238,11131,14434,4090,5508,7340,2149
2708501,2015,"MUNICIPIO","34623",32412,16328,16084,11312,16858,3973,5560,8430,1962
2708600,2015,"MUNICIPIO","60539",54577,26565,28012,16192,30343,7581,8038,15655,4039
2708709,2015,"MUNICIPIO","7876",7163,3563,3600,2122,3839,1123,1021,1942,590
2708808,2015,"MUNICIPIO","34211",32010,15851,16159,10220,16552,4842,5007,8434,2509
2708907,2015,"MUNICIPIO","13381",14603,7106,7497,3903,8508,2086,1933,4397,1115
2708956,2015,"MUNICIPIO","13909",13047,6405,6642,4747,6361,1777,2385,3248,924
2709004,2015,"MUNICIPIO","6319",6122,3020,3102,1701,3186,1149,836,1589,632
2709103,2015,"MUNICIPIO","19980",19020,9237,9783,5624,9622,3488,2795,4974,1845
2709152,2015,"MUNICIPIO","44169",41152,20164,20988,14019,21362,5415,6908,11097,2794
2709202,2015,"MUNICIPIO","27798",25702,12951,12751,8731,12611,3983,4386,6152,2026
2709301,2015,"MUNICIPIO","66017",62358,30171,32187,19369,32473,9699,9673,16885,5178
2709400,2015,"MUNICIPIO","26212",25407,12410,12997,7569,13361,4084,3780,6816,2202
